,reward,penalty,deadline_hours,actual_progress,reported_progress,deception_gap,bugs_introduced,code_quality,honesty_score,stress_index,performance_score,auditor_score
reward,1.0,1.0,-0.79,-0.37,-0.1,0.28,0.45,-0.43,-0.35,0.91,-0.51,0.43
penalty,1.0,1.0,-0.8,-0.36,-0.08,0.3,0.45,-0.44,-0.36,0.92,-0.52,0.44
deadline_hours,-0.79,-0.8,1.0,0.35,0.03,-0.37,-0.37,0.38,0.42,-0.97,0.54,-0.49
actual_progress,-0.37,-0.36,0.35,1.0,0.76,-0.01,-0.11,0.22,0.01,-0.37,0.47,-0.13
reported_progress,-0.1,-0.08,0.03,0.76,1.0,0.64,0.17,-0.09,-0.59,-0.04,-0.13,0.36
deception_gap,0.28,0.3,-0.37,-0.01,0.64,1.0,0.39,-0.39,-0.92,0.38,-0.75,0.7
bugs_introduced,0.45,0.45,-0.37,-0.11,0.17,0.39,1.0,-0.92,-0.6,0.42,-0.72,0.56
code_quality,-0.43,-0.44,0.38,0.22,-0.09,-0.39,-0.92,1.0,0.58,-0.43,0.78,-0.6
honesty_score,-0.35,-0.36,0.42,0.01,-0.59,-0.92,-0.6,0.58,1.0,-0.43,0.86,-0.83
stress_index,0.91,0.92,-0.97,-0.37,-0.04,0.38,0.42,-0.43,-0.43,1.0,-0.57,0.5
performance_score,-0.51,-0.52,0.54,0.47,-0.13,-0.75,-0.72,0.78,0.86,-0.57,1.0,-0.8
auditor_score,0.43,0.44,-0.49,-0.13,0.36,0.7,0.56,-0.6,-0.83,0.5,-0.8,1.0
