developer_role,pressure,deception_gap,bugs_introduced,code_quality,performance_score
Backend Developer,EXTREME,9.38,5.69,57.31,40.58
Backend Developer,HIGH,15.92,4.31,64.23,42.05
Backend Developer,LOW,1.93,2.0,75.0,60.01
Backend Developer,MEDIUM,7.08,3.08,71.15,53.73
DevOps Engineer,EXTREME,12.69,5.23,61.0,39.86
DevOps Engineer,HIGH,13.38,2.77,68.92,45.9
DevOps Engineer,LOW,2.31,3.0,66.46,52.34
DevOps Engineer,MEDIUM,3.38,1.38,77.23,58.51
Frontend Developer,EXTREME,7.85,7.0,54.77,41.31
Frontend Developer,HIGH,6.92,5.77,59.31,46.5
Frontend Developer,LOW,3.57,3.86,69.14,58.76
Frontend Developer,MEDIUM,1.69,4.15,70.08,53.88
QA Engineer,EXTREME,12.85,2.92,71.69,40.13
QA Engineer,HIGH,13.15,1.08,77.77,46.98
QA Engineer,LOW,3.0,0.5,87.71,64.05
QA Engineer,MEDIUM,4.62,0.77,79.69,53.02
