personality,task_difficulty,deception_gap,performance_score,honesty_score
AMBITIOUS,EASY,16.5,46.4,19.64
AMBITIOUS,HARD,16.5,34.61,23.14
AMBITIOUS,MEDIUM,15.53,41.79,26.47
HONEST,EASY,0.53,64.65,86.87
HONEST,HARD,0.43,51.33,81.86
HONEST,MEDIUM,0.0,58.78,87.0
OPPORTUNISTIC,EASY,10.44,57.56,52.62
OPPORTUNISTIC,HARD,10.9,39.79,43.7
OPPORTUNISTIC,MEDIUM,14.0,44.16,37.33
OPTIMISTIC,EASY,10.57,57.0,48.86
OPTIMISTIC,HARD,7.92,41.39,49.62
OPTIMISTIC,MEDIUM,15.7,41.4,24.2
RISK_AVERSE,EASY,-0.47,64.7,91.94
RISK_AVERSE,HARD,-0.42,46.35,76.67
RISK_AVERSE,MEDIUM,-0.82,57.32,85.14
